id,for,service,type,by,date,role,description
3433800,3433800,Escort,Positive,3803081,12/06/2019 13:54,Seeking Services,Another terrific meet with CR who is great company and offers a fantastic experience. Looking forward to next time already.
3433800,3433800,Escort,Positive,695886,12/02/2019 08:23,Seeking Services,"Rebecca is in a class of her own, pure sex on legs with the loveliest personality you could wish for. Thanks R, can?t wait for the next time. B.xx"
3433800,3433800,Escort,Positive,3803081,21/11/2019 00:17,Seeking Services,Been a long time admirer of CR?s profile and I wasn?t disappointed with our 1st meeting. All the previous feedback is true and can?t wait to meet again.
3433800,3433800,Escort,Positive,3343790,17/11/2019 00:15,Seeking Services,"Amazing hour spent with this gorgeous woman. Amazing as ever; flirty, dirty and classy. Genuinely one of the very best!"
3433800,3433800,Escort,Positive,2676334,15/11/2019 14:47,Seeking Services,second meeting with Rebecca fantastic time will be back
3433800,3433800,Escort,Positive,73894,15/11/2019 12:37,Seeking Services,Gorgeous and sexy! Superb figure and knows what she is doing. Charming and chatty too. A real gem!!
3433800,3433800,Escort,Positive,3855887,14/11/2019 08:43,Seeking Services,Another lovely time with Rebecca. She is so lovely in every way. Look forward to the next time X
3433800,3433800,Escort,Positive,695886,11/11/2019 07:49,Seeking Services,"YET another mind blowing session with (now legendary CR!), words cannot describe how sexy this young strumpet is, definitely a keeper in my books. Thanks R.xx"
3433800,3433800,Escort,Positive,5081357,11/07/2019 10:31,Seeking Services,Super meet with sexy Rebecca. She was on fire today!
3433800,3433800,Escort,Positive,1073117,11/06/2019 11:09,Seeking Services,So Very very pretty can?t wait to see again xx
3433800,3433800,Escort,"Feedback
Only",4896850,11/04/2019 17:51,Seeking Services,Rebecca is everything I could want in a sexy woman xxx
3433800,3433800,Escort,Positive,4464910,11/04/2019 15:20,Seeking Services,what an afternoon I spent with this lady she's absolutely fantastic what a fantastic b******* really look forward to seeing her again the best of the best Rebec
3433800,3433800,Escort,Positive,5032889,31/10/2019 13:34,Seeking Services,Excellent time had. Lovely lady and profile is true. Will definitely see again.
3433800,3433800,Escort,Positive,3924414,31/10/2019 00:57,Seeking Services,"Rebecca is stunningly beautiful, amazing to be with and her tongue technique is the 8th Wonder of the World! Truly Wow enjoy and respect.. Xx"
