id,for,by,meetDate,meetLocation,type,duration,price,recommended,visitAgain,valueForMoney,overallRatings,venue.description,venue.score,meeting.description,meeting.score,worker.attributes.physical.description,worker.attributes.physical.score,worker.attributes.personality.description,worker.attributes.personality.score,worker.attributes.service.description,worker.attributes.service.score
3433800,Classy Rebecca xxx,Scaniman,Thursday 15 December,Mayfair London,In-call,2 hour(s),£210,Yes,Yes,Good,9.8,"Upmarket hotel on Mayfair.
Easy to find ,easy access past reception
No on road parking ,went by train, 5 mins from tube.
Very comfortable room despite small bath room.",09-Oct,"You can expect all services offered in Lady P's extensive list,Lady P always genuinely seems to enjoy our encounters each time we have met, I'm not one to go in to all the details of our session out of respect or this lovely lady, suffice to say that our two hours flew by, after paper work completed shower offered and taken and shower at the end. at no time was there any clock watching or the sense of being hurried, this is the third time I have seen Lady P and always leave fully sated, she has made me very happy by agreeing to move to London and leave Bristol ( only joking fellas) give this lady the respect she deserves and you will not be disappointed, can't wait to see the wonderful Lady Penelope again soon.
.xxxxxxxxxx xxxxxxxxx xxxxxxx xxxxxxx xxx xxxx xxx xxx xxx xxxx xxxxx xxx xxxx xxxx xxxx xxxxx xxxx",10-Oct,,,,,,
3433800,Classy Rebecca xxx,paulnorw,Monday 5 December,norwich,In-call,1 hour(s),£120,Yes,Yes,Excellent,10,"met penelopepassion in a lovely clean apartment,and parking was easy,and easy to find,there was no reception and discreet safe entrance,",10-Oct,"all I will say is we did lots sexy and very naughty stuff together and we both had a very sexy time,but I need to tell you more about this very sexy hot lady,because people need to go and meet Penelope as you will go a very long time before you find a better lady,and just feel I need to tell you that the fuck session we had was my best ever,and we fuck different ways and Penelope is so full of passion and am sure we both felt like we did not want to stop as we were both so horny at this time,and just felt I was in heaven with such a gorgeous lady,and one thing that will stay in my mind for a long time is Penelope sucks hard cock just perfect ,and the way she made me cum was so amazing and I could not help but pump my load of pure cum between her gorgeous lush breasts,and was just amazing way to end a super perfect meet,",10-Oct,,,,,,
3433800,Classy Rebecca xxx,bonking bob,Monday 22 August,Bristol,In-call,1 hour(s),£120,Yes,Yes,Excellent,10,"Penelope's private apartment.
This is Penelope's home.
Her apartment is always neat and tidy.
Very easy to find with lots of parking space.
Access controlled and very discreet.
Very safe and secure.",10-Oct,"We always start off lying on the bed cuddling and kissing and catching up with what has been going on since our last encounter.
I then give Penelope a good back massage and start kissing and licking her all over,ending with a good bit of reaming which she seems to enjoy by the sounds she makes.
Then roll her onto her back and kisses from top to bottom and start on that juicy pussy licking her clit with a finger inside.We then change position to reverse oral which I really love doing with Penelope her tongue flicking around my cock and balls is really great we are then really hot and ready for some hot action.
She then wants me inside her so on with the raincoat and start with me on top we then proceeded to doggie which she really likes until I explode inside her.We then lay down cuddling and chatting a bit more before I get ready to leave.
Never seen as clock watcher.
Will definitely be around again soon babe can't wait xx",10-Oct,,,,,,
3592995,Curvy_AnneMarie,SlaveTrigger8821,Friday 4 January,Nottingham,In-call,1 hour(s),ï¿½120,Yes,Yes,Excellent,10,Met at a hotel where Anne Marie was staying. Really easy to find and also discreet so nobody made me feel uneasy at any time.,10-Oct,"Well I requested a roleplay with Anne Marie which involved me being a pervy hotel worker. I was to enter the room and act like I was checking her bathroom out, this is where I found a pair of her sexy kickers which I started to sniff. Just at that moment Anne Marie walked in a caught me in the act. This then lead to her giving me a dressing down and ordered to remove my clothing and she decided to use me for her pleasure. I was ordered to lay on the bed and Anne Marie sat on my face for nice period of time, this was incredible for me and I felt like I was in heaven. I was then given the pleasure of oral on me and I can honestly say I was left speechless!! Many providers claim to provide a top level of oral and I have never encountered a lady as good as Anne Marie, I was moaning and groaning and holding back from such a pleasure mouth. We then went on with penetration which was truly sublime, to have Anne Marie on top with her amazing breasts in my face meant I didn't last very long!!

All in all a great meet with a very genuine lady who made me feel at ease from our first comms. I would definitely book again when she is on her travels and would even travel anywhere to her for the amazing oral skills!!xx",10-Oct,,,,,,
3592995,Curvy_AnneMarie,RandomJoe69,Friday 21 December,Crawley,In-call,1 hour(s),100,Yes,Yes,Excellent,10,"Meet was a at local hotel.
Free parking
Discreet
Big room and comfy bed.",10-Oct,"Had a early bird booking as coming back from work.
Any worries of AnnMarie text me hotel room when I let her know I was in car park so I was able to walk straight to rooms without any nerves.
She opened the door to reveal herself in a tight dress, after paperwork complete I ask to have a shower.
Afterwards I came out to see her in wonderful black underwear.
We begun by kissing and touching each other before fully stripping and continuing on the bed.
I then proceed to give her oral, she is very responsive and orgasmed multiple times.
She then returned the favour; which was amazing and I wanted to finish in here mouth which she happily did and swallowed every drop.
We then recovered and had a chat before time was up and we parted ways.
Did not feel rushed and was not clock watched, just felt like a natural end of a meeting.
I will see her again",10-Oct,,,,,,
3592995,Curvy_AnneMarie,Bebopmatty,Saturday 26 May,Manchester,In-call,0.5,70,Yes,Yes,Excellent,10,"Nice hotel
Very discreet
Easy parking
No problem at all.
Very upmarket place",10-Oct,"No clock watching
Really enjoyed
Will be back
Loved my time with Anne marine
She tasted wonderful
Boobs to die for
Loved going down on Anne marie
Had my head between her legs for a good 10 minutes, definitely paid off I think lol
Gave me oral nice and slow
Was a wonderful sight of Anne on her knees
Such a beautiful round arse to look at
It really is
I'd recommend this lady all.all-day long
Real nice time
Just what I needed after a hard week at work
Get down there , nice time
Easy going yet horn too.
What more could a guy ask for .
Well.a hour would of been better to be honest
Hope to see Anne marie again when she is back in Manchester , nor sure if she does a two girl deal but that would be something to keep me going for a while , so Yeh I would highly recommend Anne marie to put a smile on your face on a Friday afternoon, or night for that matter",10-Oct,,,,,,
3592995,Curvy_AnneMarie,MrChoco,Sunday 28 January,Gatwick,In-call,0.5,£80,Yes,Yes,Excellent,9.8,In a hotel near the location.The hotel was not complicated to find from the destination station as I took a cab. Was easy to access & discreet. I felt very comfortable in the surroundings.,09-Oct,"Unfortunately, I was slightly late due to not knowing the area and waiting for taxi's. AM was soooo cool about it as I had informed her of this.

I was greeted at the apartment door with a warm kiss where I felt a lot more at ease - I ws instantly aroused.

I opted for a quick shower to feel fresh. Once I came out of the shower, AM had removed her outfit to reveal her underwear and those curves!! I got on the bed where AM joined me for a little cuddle; she's so sensual and really puts a lot into this.

After playing and licking my sensitive nipples, AM worked her mouth down where I really enjoyed the feel of her mouth on my penis. Her mouth is so so soft and she sucks in a really gentle and sensual manner which had me almost cuming so quickly...I had to intervene because it would have been an early finish in record time..

I returned the favour, to give AM some oral, which I believe she enjoyed. She tastes so good, really fresh -I could have stayed there all night if she let me. AM was very response, which I loved!!

Then back onto me and AM sensed that I was holding out on her; so I thought it would be rude not to taste her again before I would climax as I was so close...again she tasted so good and I varied the licking and sucking of her pu*sy...

Afterwards, AM had her soft mouth on my penis again going slightly deeper where I just let go and allowed it to just flow where she just took it all in and didn't waste anything. Was an amazing finish - had me in heaven!! AM didn't clock watch, despite me being late which would hve help up other bookings.

After a quick shower, I said my goodbyes but hopefully not farewell...

In summary; AnnMarie is a really genuine, very attractive curvy woman (oh and amazing ass), who takes her profession really seriously and cares for the client giving them what they want with class!! I would highly recommend and would love to see her again! Thank you AM xx",10-Oct,,,,,,
3592995,Curvy_AnneMarie,fotospeed,Sunday 29 October,Rotherham,In-call,0.75 hour(,£110,Yes,Yes,Excellent,10,"Met AM bright and early in a well-known and very respectable hotel.
It was clean modern, easy to find just off the motorway, and totally safe. Entrance not private but very discreet.",10-Oct,"We started off with passionate DFK, as that continued AM started to slowly wank me off, quickly we are both naked I’m laid back on the bed, she is kneeling between my legs, I am rock hard by this time. On her profile AM mentions deep throat… wow can she deliver, it’s amazing to see most of my fat cock (covered in spit) disappear deep into her mouth, she puts real effort into this, along with lots of ball sucking, a truly fantastic blow job.
We change into a 69 position where I go to work on her very wet sweet tasting pussy. What next? Anal play both ways, she is kneeling alongside me, my cock in her mouth, I have a finger in her arse she has a finger in mine, she pulls out the finger and goes in with her tongue. The pleasure of a deep sloppy blowjob along with her tongue pressing into my bum hole at the same time is hard to describe, just use your imagination!
By now we had almost run out of time so on with the condom and a very energetic doggy style fuck into a nice tight pussy during which AM muttered “oh fuck yes” a number of times. I reckon I will do it all over again soon.",10-Oct,,,,,,
3592995,Curvy_AnneMarie,Tedb224,Sunday 29 October,Birmingham,In-call,1,Not enough - a quality worth more then I paid!,Yes,Yes,Excellent,10,"We met at a hotel. Good choice of venue - safe, discreet and comfortable. Very easy to get to, get in and leave!",10-Oct,"My time with Anne Marie was perfect. There is a moment where I helped her remove her cloths and then she turned around and bent over. If every there was a vision - this was it.

Sexually she made our time amazing. The sex was out of this world, and after we had enough time for me to give her a massage. During the massage I really enjoyed touching her. I also got the opportunity to give her a face massage and what a treat that was for me. Anne Marie truly is beautiful and she has the pretitist face and exotic features.

Overall this was a perfect time with the most perfect person. I look so forward to next time.


Treat her with respect and what she will give back is beyond words.

Thank you Anne Marie for a great time and I really hope I get to see you soon.


Icreadible is the word of the day!",10-Oct,,,,,,
3592995,Curvy_AnneMarie,Member Not Active,Tuesday 29 August,Preston,In-call,1,120,Yes,Yes,Excellent,10,"Met at a usual budget hotel north aid preston at the m6/m55 intersection. Easy parking and minimal staff on the door or reception as you pas them on their blind side -- utterly perfect - had been text room number on arrival and jogged up to the second floor of the hotel - which was hard work and a waste of valuable energy I would need later - door open by the beautiful lady dressed S asked in tight black dress and tights - black - with a red skimpy thong clearly visible through the tights
Fantastic start to the mornings fun",10-Oct,"Well to fuf adultworks word count expectations I will repeat myself at the risk
If being rude
Met a-m in her temporary home - budget hotel
Room - paperwork sorted then I good fresh in the en-suite - came out and kissed and cuddles then slipped off her dress revelling a racy red-black bra and sheer black tights that was keeping a pair of silk red thong knickers firmly in the right place - as a man I have the lucky ability to remove ladies underwear quickly - so a couple of backward pops and out pipes the girls in all there glory - boobs pointing in the right direction and with a little help nipples standing to attention - then she tweerked her way out of both tights And knickers - she then offered a 69 which wAs fab - she tasted just right - you know bot to clinically clean - and not like it had not been cleaned since the appointment - if was a very clean natural
Smell and taste - fantastic - then my turn
With a deep sloppy bj - plenty of lengthy dips to take the solider all the way back to the guard house - stopped to apply the
Mac and had a frantic 20 minutes fuckAthon - wjeee we both tried to shag each other silly - she made the right amount of noises - not sure it was that good - but it sounded realistic to me ! Then to finish a brilliant bj that she controlled with her tongue mouth and teeth -wow - for the first time every and I mean first time it was owotc and the dirty lady duly swallowed the lot !! Like a good courtAsean she smile as she did the deed and then cleaned me up !! Happy time - will return if preston is lucky enough for to come back - I hope so !!!",10-Oct,,,,,,
