id,where,starts,ends,stops
3592995,Curvy AnneMarie on Tour 2019!,17/01/2019,11/12/2019,22
1579438,Sex & Debauchery Tour,09/12/2019,12/12/2019,2
895068,BUSTY NICKY 38GG COMING READING,09/12/2019,15/12/2019,"1 in Reading , Berkshire"
895068,Busty Nicky 38GG coming LEEDS,16/12/2019,20/12/2019,"1 in Leeds, York"
3258090,Back in Harrogate 2 days only.xx,11/12/2019,12/12/2019,"1 in Harrogate, North Yorkshire"
3258090,Back in Newcastle!!,19/12/2019,23/12/2019,"1 in City Centre, Newcastle upon Tyne"
5285836,Gorgeousmayling,03/12/2019,24/12/2019,"1 in High Barnet Finchley Hampstead Highgate golden gre, Barnet"
358631,Heathrow 28th Nov - Dec 8th,16/11/2019,23/12/2019,"1 in Heathrow , Hounslow"
358631,Droitwich 8th -13th Dec,08/12/2019,13/12/2019,"1 in Droitwich , Worcestershire"
358631,Bristol Busty Mixed Race Escort Bristol,13/12/2019,15/12/2019,"1 in Bristol , Bristol"
358631,Solihull 26th - 1st Jan,26/12/2019,01/01/2020,"1 in Solihull, Solihull"
4597076,Getting to know (more of) the Southwest,09/12/2019,13/12/2019,"1 in Bath City Centre Bristol, Bristol"
3364004,One Night in Hardy Country,09/12/2019,10/12/2019,"1 in Dorchester, Dorset"
1434341,Cheltenham Gouoster,09/12/2019,12/12/2019,"1 in Cheltenham, Gloucestershire"
1434341,"Oxford, Kidlington OX5",16/12/2019,20/12/2019,"1 in Oxford Kidlington, Oxfordshire"
